Ticker,Sentpos,Polarity,Subjectivity,BSH Rating,BSH #Rating,Comp Score, Open  , 1 Hour , Close ,% Change 1 Hour,% Change Open to Close,1 Year Ago,1-Apr,1 Year % Change,,,,,,,
Gitlab Inc. (XNAS:GTLB),0,0.21,0.3,Sell,-1,-0.79, $56.63 , $55.48 , $56.14 ,-2.031%,-0.865%,32.77,55.55,69.515%,,,,,,,
SNAP INC. (XNYS:SNAP),1,0.45,0.4,Sell,-1,-0.55, $11.11 , $11.06 , $10.99 ,-0.450%,-1.080%,11.04,11.25,1.902%,,,,,,,
BLACKSTONE INC. (XNYS:BX),2,0.2,0.58,Hold,0,0.2, $126.31 , $126.21 , $127.38 ,-0.079%,0.847%,87.23,131.03,50.212%,,,,,,,
"ROCKET COMPANIES, INC. (XNYS:RKT)",3,0,0,Sell,-1,-1, $13.10 , $12.97 , $13.02 ,-0.992%,-0.611%,9.17,13.86,51.145%,,,,,,,
"PALO ALTO NETWORKS, INC. (XNAS:PANW)",4,0,0,Buy,1,1, $265.19 , $267.81 , $268.76 ,0.988%,1.346%,201.16,279.42,38.904%,,,,,,,
"UBER TECHNOLOGIES, INC. (XNYS:UBER)",5,0.2,0.2,Buy,1,1.2, $77.18 , $74.67 , $75.04 ,-3.252%,-2.773%,32.08,76.4,138.155%,,,,,,,
WELLS FARGO & COMPANY (XNYS:WFC),6,0.05,0.53,Buy,1,1.05, $57.43 , $57.70 , $57.83 ,0.470%,0.697%,41.3,57.61,39.492%,,,,,,,
RESMED INC. (XNYS:RMD),7,0.41,0.54,Buy,1,1.41, $189.03 , $188.01 , $188.26 ,-0.540%,-0.407%,225.45,189.32,-16.026%,,,,,,,
"TESLA, INC. (XNAS:TSLA)",8,0,0,Sell,-1,-1, $165.38 , $172.17 , $173.12 ,4.106%,4.680%,187.04,175.22,-6.320%,,,,,,,
"SUPER MICRO COMPUTER, INC. (XNAS:SMCI)",9,0.1,0.8,Sell,-1,-0.9, $949.18 , $930.50 , $928.70 ,-1.968%,-2.158%,110.43,1037.15,839.192%,,,,,,
"CORSAIR GAMING, INC. (XNAS:CRSR)",10,0,0,Sell,-1,-1, $11.81 , $11.90 , $11.94 ,0.762%,1.101%,17.72,12.21,-31.095%,,,,,,,
BLACKBERRY LIMITED (XNYS:BB),11,0.91,0.78,Sell,-1,-0.09, $2.82 , $2.86 , $2.89 ,1.418%,2.482%,4.47,2.7,-39.597%,,,,,,,
Brookfield Corporation (XNYS:BN),12,0.24,0.55,Buy,1,1.24, $40.29 , $40.57 , $40.54 ,0.695%,0.621%,32.76,41.19,25.733%,,,,,,,
"ACADEMY SPORTS AND OUTDOORS, INC. (XNAS:ASO)",13,0.05,0.75,Sell,-1,-0.95, $63.36 , $63.65 , $62.69 ,0.458%,-1.057%,64.75,66.77,3.120%,,,,,,,
"AMAZON.COM, INC. (XNAS:AMZN)",14,0,0,Buy,1,1, $185.03 , $186.59 , $185.21 ,0.843%,0.097%,102.3,180.97,76.901%,,,,,,,
"ILLUMINA, INC. (XNAS:ILMN)",15,0.05,0.41,Sell,-1,-0.95, $127.31 , $129.69 , $129.58 ,1.869%,1.783%,229.97,132.72,-42.288%,,,,,,,
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (XNYS:HE)",16,0.2,0.2,Sell,-1,-0.8, $11.10 , $11.34 , $11.23 ,2.162%,1.171%,39.28,11.1,-71.741%,,,,,,,
Excelerate Energy Inc (XNYS:EE),17,0.35,0.65,Hold,0,0.35, $15.57 , $15.75 , $15.85 ,1.156%,1.798%,22.45,15.86,-29.354%,,,,,,,
SIBANYE STILLWATER LIMITED (XNYS:SBSW),18,0.15,0.3,Buy,1,1.15, $5.55 , $5.75 , $5.69 ,3.604%,2.523%,8.6,4.67,-45.698%,,,,,,,
ABBOTT LABORATORIES (XNYS:ABT),19,0.26,0.35,Buy,1,1.26, $111.43 , $111.26 , $112.44 ,-0.153%,0.906%,104.52,112.09,7.243%,,,,,,,
EMERSON ELECTRIC CO. (XNYS:EMR),20,-0.15,0.4,Buy,1,0.85, $114.71 , $113.23 , $114.13 ,-1.290%,-0.506%,86.58,113.54,31.139%,,,,,,,
FORD MOTOR COMPANY (XNYS:F),21,0.04,0.34,Buy,1,1.04, $13.43 , $13.40 , $13.52 ,-0.223%,0.670%,12.68,13.29,4.811%,,,,,,,
"VERTEX, INC. (XNAS:VERX)",22,0.37,0.83,Buy,1,1.37, $403.18 , $399.95 , $404.05 ,-0.801%,0.216%,22.38,32.03,43.119%,,,,,,,
MEDTRONIC PUBLIC LIMITED COMPANY (XNYS:MDT),23,0.7,0.6,Buy,1,1.7, $83.64 , $82.86 , $82.33 ,-0.933%,-1.566%,82.12,87.02,5.967%,,,,,,,
"RILEY EXPLORATION PERMIAN, INC. (XNYS:REPX)",24,0.61,0.76,Buy,1,1.61, $29.41 , $30.05 , $30.00 ,2.176%,2.006%,43.51,33.71,-22.524%,,,,,,,
"WESCO INTERNATIONAL, INC. (XNYS:WCC)",25,-0.1,0.4,Buy,1,0.9, $172.76 , $169.02 , $167.02 ,-2.165%,-3.323%,139.4,175.59,25.961%,,,,,,,
CLEVELAND-CLIFFS INC. (XNYS:CLF),26,0,0,Buy,1,1, $21.85 , $22.06 , $22.31 ,0.961%,2.105%,17.26,22.69,31.460%,,,,,,,
Schlumberger N.V. (XNYS:SLB),27,0.52,0.75,Hold,0,0.52, $54.02 , $53.92 , $53.27 ,-0.185%,-1.388%,52.06,55.22,6.070%,,,,,,,
"MARINEMAX, INC. (XNYS:HZO)",28,0,0.15,Sell,-1,-1, $27.50 , $27.39 , $27.51 ,-0.400%,0.036%,28.16,33.12,17.614%,,,,,,,
PEABODY ENERGY CORPORATION (XNYS:BTU),29,0.3,0.8,Sell,-1,-0.7, $22.94 , $23.15 , $23.48 ,0.915%,2.354%,26.31,24.16,-8.172%,,,,,,,
"THE TRADE DESK, INC. (XNAS:TTD)",30,0.26,0.63,Buy,1,1.26, $86.35 , $86.58 , $87.85 ,0.266%,1.737%,61.2,87.31,42.663%,,,,,,,
GERON CORPORATION (XNAS:GERN),31,0.44,0.61,Sell,-1,-0.56, $3.52 , $3.58 , $3.75 ,1.705%,6.534%,2.05,3.17,54.634%,,,,,,,
ARCHER AVIATION INC. (XNYS:ACHR),32,0.29,0.54,Sell,-1,-0.71, $4.26 , $4.20 , $4.22 ,-1.408%,-0.939%,2.03,4.5,121.675%,,,,,,,
URANIUM ENERGY CORP. (XNYS:UEC),33,0.14,0.45,Buy,1,1.14, $7.15 , $7.05 , $7.35 ,-1.399%,2.797%,2.86,7.07,147.203%,,,,,,,
NEW FORTRESS ENERGY INC. (XNAS:NFE),34,0.17,0.58,Sell,-1,-0.83, $29.14 , $29.09 , $28.41 ,-0.172%,-2.505%,30.3,30.12,-0.594%,,,,,,,
CUMMINS INC. (XNYS:CMI),35,0.13,0.63,Buy,1,1.13, $302.52 , $299.05 , $298.53 ,-1.147%,-1.319%,234.52,294.53,25.588%,,,,,,,
ABBOTT LABORATORIES (XNYS:ABT),36,0.32,0.37,Buy,1,1.32, $110.33 , $109.81 , $109.03 ,-0.471%,-1.178%,104.52,112.09,7.243%,,,,,,,
"THE PNC FINANCIAL SERVICES GROUP, INC. (XNYS:PNC)",37,0.18,0.31,Buy,1,1.18, $151.61 , $150.97 , $150.29 ,-0.422%,-0.871%,125.09,159.94,27.860%,,,,,,,
NIO INC. (XNYS:NIO),38,0,0,Sell,-1,-1, $4.34 , $4.17 , $4.13 ,-3.917%,-4.839%,9.83,4.64,-52.798%,,,,,,,
PALANTIR TECHNOLOGIES INC. (XNYS:PLTR),39,-0.07,1,Buy,1,0.93, $22.74 , $22.93 , $22.69 ,0.836%,-0.220%,8.8,22.86,159.773%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
